Date,Open,High,Low,Close,Adj Close,Volume
2021-02-17,774.000000,785.000000,764.299988,777.750000,774.973633,16956357
2021-02-18,775.000000,782.000000,764.000000,777.000000,774.226318,19685663
2021-02-19,772.900024,777.200012,741.349976,749.650024,746.973938,15634787
2021-02-22,749.650024,749.849976,715.000000,719.450012,716.881775,18123202
2021-02-23,732.349976,734.950012,712.599976,715.950012,713.394226,16804763
2021-02-24,722.000000,754.900024,717.049988,749.400024,746.724792,11207286
2021-02-25,765.000000,783.500000,762.150024,770.650024,767.898987,26635119
2021-02-26,746.000000,758.700012,718.650024,724.799988,722.212585,31306177
2021-03-01,738.000000,743.500000,722.250000,728.549988,725.949219,14301187
2021-03-02,730.450012,740.500000,722.000000,731.250000,728.639587,14503453
2021-03-03,740.500000,760.799988,735.099976,753.950012,751.258606,13603791
2021-03-04,731.099976,751.450012,731.099976,736.799988,734.169800,16896947
2021-03-05,732.000000,744.099976,720.500000,730.750000,728.141357,16358252
2021-03-08,735.000000,752.500000,732.000000,743.299988,740.646545,13898556
2021-03-09,758.700012,758.700012,740.000000,745.450012,742.788879,18951683
2021-03-10,750.500000,765.700012,749.150024,760.750000,758.034241,13377990
2021-03-12,772.599976,776.599976,745.000000,750.599976,747.920471,16343307
2021-03-15,754.000000,754.000000,716.650024,744.400024,741.742676,22466579
2021-03-16,751.000000,752.000000,735.950012,737.750000,735.116394,11358574
2021-03-17,739.000000,742.000000,724.700012,727.900024,725.301575,12380976
2021-03-18,736.000000,743.099976,707.250000,718.750000,716.184265,12261544
2021-03-19,709.000000,729.349976,703.500000,726.250000,723.657471,20377672
2021-03-22,719.000000,730.000000,709.299988,716.200012,713.643372,14802230
2021-03-23,718.000000,739.500000,714.099976,730.549988,727.942078,15949688
2021-03-24,723.250000,725.000000,703.299988,706.400024,703.878357,14379147
2021-03-25,709.500000,710.900024,680.000000,694.599976,692.120422,21179280
2021-03-26,707.000000,707.000000,693.150024,698.200012,695.707581,13143312
2021-03-30,705.000000,713.299988,691.000000,695.349976,692.867737,25965218
2021-03-31,696.000000,703.549988,692.099976,697.450012,694.960327,14924620
2021-04-01,706.299988,717.000000,695.549988,713.000000,710.454712,13090326
2021-04-05,707.200012,708.450012,677.450012,685.250000,682.803772,16239521
2021-04-06,690.099976,693.500000,675.500000,677.900024,675.480042,12062011
2021-04-07,680.500000,691.900024,668.400024,688.250000,685.793091,14433515
2021-04-08,691.500000,695.500000,679.349976,681.599976,679.166809,9026398
2021-04-09,679.299988,686.799988,667.000000,668.200012,665.814697,12509114
2021-04-12,651.000000,655.000000,626.650024,635.599976,633.331055,14649541
2021-04-13,635.599976,664.849976,630.000000,661.000000,658.640381,12737650
2021-04-15,666.450012,671.349976,652.299988,668.849976,666.462341,15195951
2021-04-16,668.650024,675.250000,662.349976,669.200012,666.811096,12242522
2021-04-19,650.000000,655.299988,631.000000,648.150024,645.836243,17292072
2021-04-20,656.000000,662.000000,643.000000,651.750000,649.423401,12296248
2021-04-22,641.000000,660.950012,634.400024,658.700012,656.348572,19385102
2021-04-23,656.000000,677.500000,650.900024,671.349976,668.953369,19167768
2021-04-26,694.000000,703.799988,684.500000,700.450012,697.949585,21646184
2021-04-27,691.099976,703.900024,684.099976,699.549988,697.052734,46559967
2021-04-28,708.000000,712.500000,688.150024,708.150024,705.622070,54060587
2021-04-29,712.000000,726.900024,707.000000,719.400024,716.831970,25939327
2021-04-30,705.000000,729.849976,705.000000,714.900024,712.348022,23011654
2021-05-03,706.000000,708.000000,692.099976,702.750000,700.241333,13752878
2021-05-04,704.000000,718.650024,698.099976,700.349976,697.849854,11980155
2021-05-05,709.000000,719.049988,700.000000,717.200012,714.639771,11155033
2021-05-06,718.000000,722.849976,710.250000,715.750000,713.194946,9484934
2021-05-07,721.000000,726.900024,714.000000,716.750000,714.191345,7131970
2021-05-10,723.500000,725.000000,714.000000,715.250000,712.696716,7980462
2021-05-11,704.799988,713.700012,703.000000,707.349976,704.824890,12736700
2021-05-12,704.000000,705.750000,689.049988,691.299988,688.832214,10856584
2021-05-14,695.000000,698.599976,681.400024,685.000000,682.554688,9377968
2021-05-17,691.500000,710.299988,684.400024,709.250000,706.718140,12099197
2021-05-18,720.000000,726.000000,708.500000,711.650024,709.109619,19519055
2021-05-19,704.000000,723.700012,702.200012,716.799988,714.241211,20244016
2021-05-20,708.599976,714.400024,704.549988,705.900024,703.380127,18840413
2021-05-21,707.000000,733.400024,707.000000,730.900024,728.290894,15883692
2021-05-24,730.400024,747.500000,726.750000,741.150024,738.504272,15716900
2021-05-25,744.400024,745.000000,725.849976,731.549988,728.938477,11344261
2021-05-26,738.000000,741.400024,729.500000,735.099976,732.475830,9081086
2021-05-27,737.200012,753.849976,731.000000,750.349976,747.671387,23040846
2021-05-28,752.599976,759.700012,738.500000,739.849976,737.208923,17149692
2021-05-31,737.900024,753.000000,734.000000,750.700012,748.020203,9275086
2021-06-01,753.549988,754.000000,741.150024,745.150024,742.489990,6660243
2021-06-02,744.799988,745.299988,734.200012,737.000000,734.369080,9973043
2021-06-03,743.000000,752.250000,739.000000,750.650024,747.970398,8170508
2021-06-04,751.000000,759.900024,740.099976,742.049988,739.401062,10336011
2021-06-07,743.099976,753.950012,741.500000,751.099976,748.418762,6986728
2021-06-08,751.000000,751.099976,739.500000,746.349976,743.685669,6426815
2021-06-09,746.000000,751.250000,730.150024,736.750000,734.119934,8004726
2021-06-10,739.450012,745.349976,732.900024,744.250000,741.593140,7795125
2021-06-11,746.250000,746.250000,737.000000,738.450012,735.813904,4840759
2021-06-14,735.900024,741.400024,725.000000,736.250000,733.621765,5190670
2021-06-15,736.000000,752.000000,732.000000,750.900024,748.219482,9686490
2021-06-16,748.799988,756.849976,746.250000,749.799988,747.123413,8614096
2021-06-17,741.950012,745.400024,736.000000,738.599976,735.963379,6674329
2021-06-18,742.150024,743.200012,722.250000,736.299988,733.671570,8143792
2021-06-21,725.000000,740.900024,720.500000,739.549988,736.909973,6464497
2021-06-22,743.200012,749.000000,737.049988,739.349976,736.710632,6727233
2021-06-23,743.200012,743.750000,730.799988,732.349976,729.735657,6154147
2021-06-24,735.900024,742.950012,731.099976,739.150024,736.511414,5313822
2021-06-25,737.549988,765.950012,737.549988,761.349976,758.632080,11170037
2021-06-28,764.549988,769.599976,757.750000,762.400024,759.678406,7672743
2021-06-29,761.000000,763.549988,750.049988,751.950012,749.265686,7500655
2021-06-30,752.500000,760.500000,746.549988,748.299988,745.628723,5459970
2021-07-01,750.000000,754.400024,744.500000,746.450012,743.785339,5695690
2021-07-02,747.599976,752.849976,744.000000,750.650024,747.970398,3557647
2021-07-05,757.099976,762.000000,753.400024,760.349976,757.635681,4680089
